Document,Left,Term,Right
1,of peasants was needed. The ,audience, was seduced into the illusion
1,very curious effect indeed : the ,audience, felt involved in the play
1,a term - the Low Class ,audience, (LCA). One too many who
1,"James for poor scripting, the ",audience, is invited to replace the
1,self-conscious play. How the ,audience, is roped in to the
1,removes the possibility of the ,audience, ever standing apart from the
1,"and out. Also, with the ",audience, seated so close to the
1,failed utterly to engage the ,audience, in any way. It was
1,touched the hearts of the ,audience, with his beautiful baritone voice
1,mannered performance that made the ,audience, squirm in their seats. Hardly
1,structure whereby attempts by the ,audience, to 'follow' are foiled. This
1,an attempt to alienate the ,audience, and make us keenly aware
1,set to literally bring the ,audience, to the different levels of
1,are putting on for the ,audience, and this was most evident
1,interesting effect of making the ,audience," focus on the acting, dialogue"
1,the script to whip the ,audience, up - but the lacklustre response
1,no emotional chord in the ,audience, and evoked nothing from the
1,it did was remind the ,audience, that no nightclub in the
1,of waste swept over the ,audience, in one overwhelming wave. For
1,tenderness were a rarity the ,audience, hankered for throughout the entire
1,suitably fresh-faced when the ,audience, was transported to her earlier
1,"insists that while watching, the """,audience, can also experience more from
1,some bewilderment both among the ,audience, and the dancers during the
1,while gathering laughs from the ,audience, and there was little enthusiasm
1,of the members of the ,audience, who took part in the
1,proceeds to share with the ,audience, intimate details of his perhaps
1,and stands silently before the ,audience,", revealing his emaciated and wasted"
1,take into consideration that the ,audience, would comprise people from all
1,and mannered to convince the ,audience, that he was a man
1,be: raise questions within the ,audience, in the hope that they
1,sting upon an already numb ,audience,. Worse were insipid lines that
2,With' left spaces for the ,audience, to catch on to its
2,pounding. The infection dazzled the ,audience, as the technology virus seemed
2,as a member of the ,audience,", that you had so much"
2,game that called upon the ,audience," to use their observational, logical"
2,from Pennsylvania Country Oven - the ,audience, was divided into teams of
2,for the scrutiny of the ,audience,. MURDER DIY was a clever
2,that mined the potential of ,audience, interaction to the maximum. The
2,interaction to the maximum. The ,audience, appeared to have a certain
2,authority was given to the ,audience, when they were the ones
2,with the fact that the ,audience, had to actively participate in
2,"play, a new alignment between ",audience, and director/actors/scriptwriters was
2,actors/scriptwriters was created. The ,audience, had now become the 'authors
2,from a beer bottle. The ,audience, had the power to discard
2,purpose. The fact that the ,audience, could position themselves anywhere they
2,purpose. (What more when the ,audience, took into account that everything
2,lapped up by the voyeuristic ,audience, who were positioned a few
2,genuine - the formal barrier between ,audience, and actors that had to
2,"the actors, but by the ",audience, through the sifting and examining
2,the power given to the ,audience, be seen as an illusion
2,the freedom given to the ,audience,", the audience was in the"
2,"given to the audience, the ",audience, was in the end caught
2,still exerted control on the ,audience, but now only in different
2,that not only did the ,audience, have to be constantly herded
2,"basketball was played. Moreover, the ",audience, never had the upper hand
2,"be, making and provoking the ",audience, to think and share with
2,of theatre that demanded the ,audience, to heartily participate in its
2,fun and exciting for the ,audience, was that the play gave
2,gift it could to the ,audience, -- the feeling of liberation through
2,tell the story itself. The ,audience, was treated simply to image
2,for some members of the ,audience, - a minority if the rapturous
2,snubbed its nose at the ,audience, (and it could have been
2,to dumb down for an ,audience, unfamiliar with such ideas. The
2,"aplomb. Meanwhile, Wang mesmerised the ",audience, with her naturalness and perfect
2,two actresses talked to the ,audience," as themselves, or during staged"
2,two adept actresses disarmed the ,audience, with their charming banter and
2,"and bonding, not for the ",audience,", for whom it makes for"
2,poignancy when proclaimed to an ,audience,. The personal becomes a spectacle
2,in Singapore and informing the ,audience, clearly of the characters' culture
2,"larger venues, but with an ",audience, only three meters away at
2,of Liang Xi Mei. The ,audience, that seemed to be made
2,emotional anguish such that the ,audience, was engaged. Like pictures or
2,"looking at a photograph, the ",audience, was not allowed to enter
2,and family (and even the ,audience,) appeared to be cut off
2,"poem, immediate engagement with the ",audience," was lost, as the emotional"
2,"large part, the lack of ",audience, engagement was due to the
2,that maintained dramatic momentum and ,audience, interest by having not only
2,of how to work his ,audience, and how to get a
2,Sharma refuses to give the ,audience," any context, any explanation, any"
2,could surely have staged more ,audience,-friendly material. But that wouldn't
2,and stereotype to allow the ,audience," to laugh at him, never"
2,character easily accepted by the ,audience,", was to depict him as"
2,the concept of moving the ,audience, around performance sites that corresponds
2,"body as its canvas, the ",audience, is transported through a series
2,projector and two mirrors). The ,audience, is probed to constantly ask
2,D.A.V.E. scores well with the ,audience, because it has managed to
2,of magic and illusion - the ,audience, is always intrigued by video
2,was able to get the ,audience, laughing again. In the original
2,it was due to the ,audience,. Oops! I forgot the golden
2,theatre: You Can't Blame the ,audience,. I shall rephrase: perhaps it
2,"flavour, and to set the ",audience, laughing. Using a myriad of
2,and the Janitor sent the ,audience, into fits of laughter throughout
2,"are, and this draws the ",audience, closer to them. Their flight
2,not to lie to the ,audience, with a simplistic cop-out
2,announced and performed to the ,audience,", with this show time effect"
2,peek-a-boo with the ,audience,", at times effecting the full"
2,"photography, this production brought the ",audience, out of the stuffy theatre
2,to foster interaction between the ,audience," and the performers, giving audiences"
2,was aimed at encouraging the ,audience, to mingle with the performers
2,"the performance went underway, the ",audience, was told to keep to
2,if some members of the ,audience, were bold enough to mingle
2,of any consolation that the ,audience, was unwittingly following the choreographer
2,the potential to confront the ,audience, with something exciting and original
2,a stage constructed around the ,audience,. Five miniature galleries served as
2,"outside"" was created; and the ",audience,", seated in the middle of"
2,"Education Programme. Certainly, a paying ",audience, deserved to see more than
2,all that mattered to this ,audience,. But a note to the
2,"through movement, and if an ",audience, needs to be constantly reminded
2,between the character and the ,audience, had quite a few advantages
2,advantages as it allowed the ,audience, to escape the emotional trap
2,no attempt to delude the ,audience,". In fact, he seemed to"
2,deliberate attempts to remind the ,audience, time and again of it
2,refined sensibilities of an appreciative ,audience,. The play's success in Hong
2,rare thing. The element of ,audience, participation was also another highlight
2,off stage to lecture the ,audience, on how to make a
2,to make a patchwork quilt. ,audience, eagerness was literally tested. With
2,under the seats of selected ,audience," members, they were asked to"
2,was proven wrong. The waiting ,audience, was standing around when suddenly
2,"market, assigning characters to hapless ",audience, members and forcing them to
2,in the formerly typical performer-,audience, relationship. We were able to
2,I learnt more about the ,audience, than the performer. With so
2,interaction between Emily and the ,audience,", especially during the intermission significantly"
2,Even the notoriously reserved Singaporean ,audience, was no defence to the
2,between the actor and the ,audience,", we were then able to"
2,"two of the play, the ",audience, had clearly fallen in love
2,we need an all-new ,audience, such as the one I
2,and originality to the modern ,audience,. A word on the set
2,"stage, it was clear the ",audience, were lapping it all up
2,made itself relevant to the ,audience, beyond the initial attraction of
2,"the ground from here"". The ",audience, perhaps thought no more than
2,its promise of giving the ,audience, a good time and even
2,of dramatic focus and the ,audience, became distracted by the many
2,reducing the ability of the ,audience, to concentrate on the story
2,and diluting any form of ,audience, sympathy for the former character
2,hear some members of the ,audience, trying hard to suppress a
2,that would have made the ,audience, raise questions and provide answers
2,Especially when your opening night ,audience," included, among others, the chairman"
2,if she was beckoning the ,audience, to join her. To the
2,mine the laughter from the ,audience,. The play will only work
2,a bad play. Perhaps the ,audience, may have gotten away with
2,space of interpretation to the ,audience, who is then compelled to
2,certainly succeeded in entertaining its ,audience,". Ovidia Yu's script, which charted"
2,act as intermediaries to the ,audience, and also take auxiliary parts
2,energy. It may have been ,audience, jitters but it was clear
2,the theatre process for the ,audience,. Starting with a few scenes
2,subtle but it disorientates the ,audience, from establishing full suspension of
2,relatively effective in settling the ,audience, into the rest of the
2,to certain members of the ,audience,", this auditory disruption was constantly"
2,their backs turned to the ,audience,", each dancer executed a fixed"
2,of 'so cute' from the ,audience,", while a little girl was"
2,Nef's analogy then thrusts the ,audience, into a two-hour philosophical
2,incites the applause of the ,audience, as he relates his need
2,"Meanwhile, Li Xie stunned the ",audience, with her amazing voice while
2,emotional punch that left the ,audience, breathless. But there were some
2,Hassim as Jasper charmed the ,audience, with his deep baritone voice
2,perform in front of an ,audience,. With most of them having
2,"choreographer Jewel Ling. Presumably, the ",audience, was meant to experience feelings
2,from some members of the ,audience,. So with all its flaws
2,"was already halfway through, the ",audience, spilling out of their seats
2,lot of difference to the ,audience,", the vast majority of whom"
2,As just about every single ,audience, member seemed to know everybody
2,know everybody else in the ,audience, and every member of the
2,as their mates in the ,audience, could see one of their
2,cheered a man in the ,audience,) ¦ and let's not forget
2,the flying shoe that attacked ,audience, members in the stalls (you
2,a secret to tell the ,audience, and like an overworked psycho
2,"a requisite build up, the ",audience, was not left 'hanging' - there
2,"for attention. As such, the ",audience, was constantly in a state
2,"tale was lost, where the ",audience, was not able to engage
2,turning her back towards the ,audience,", the still and silent female"
2,"invoked."" This somewhat prepared the ",audience, for the passionate duets between
2,drive some members of the ,audience, away. But at the same
2,created much laughter among the ,audience,. I: How was Andrew Lim
2,about the performance? Me: The ,audience, participation of course! Usually I
2,were so desperate for an ,audience, reaction that they had to
2,force an impression upon the ,audience,". I: That bad, huh? Me"
2,"But this time round, the ",audience, participation was handled with tactfulness
2,a beach ball around the ,audience, to see who will contribute
2,given to her by the ,audience, to create the Greatest Love
2,"times even if you, the ",audience,", couldn't always see through the"
2,left you spellbound. And the ,audience," loved it! Really, really loved"
2,as the children delighted the ,audience, with their presence. The little
2,the countless children in the ,audience,. There is an intriguing background
2,could possibly provoke in an ,audience,. The infuriating thing is that
2,"coos, teases and tantalises the ",audience," with Wildean epigrams like: ""I"
2,entertainment value and left the ,audience, with some food for thought
2,the evening by involving the ,audience," in his ""ghost story""-telling"
2,engage the mostly giggly pubescent ,audience,", as his attempts to involve"
2,This confused and alienated the ,audience,", rather than engaged or spooked"
2,work in engaging the passive ,audience,". Technically, the set, lighting, and"
2,all these tricks to evoke ,audience, rapport did little to actually
2,before the show warns the ,audience, that there will not be
2,of voyeurism within the actor-,audience, dynamics. Due the spatial limitation
2,in close vicinity of the ,audience, \- one could reach out and
2,the conventional fourth-wall-seated-,audience, practise was an ingenious move
2,space and inertia between the ,audience, and the performer. The result
2,"of the old shop house, ",audience, was restricted to 40 persons
2,persons per night as the ,audience, was herded into various levels
2,to the wind while the ,audience, tried their darned best to
2,of the play to the ,audience,". To Tommy's credit, there was"
2,for any guessing once the ,audience, stepped into the shop house
2,have any resonance for the ,audience,. While the poetry had snack
2,after the other for the ,audience,", the whole nature of Jonathan's"
2,was too obscure for the ,audience, to really know what it
2,that speaks not to the ,audience, but rather to itself? While
2,"to herself, rather than the ",audience,. A private show of coruscating
2,"and brilliance, it left the ",audience, outside the shop window peering
2,"start of the play, the ",audience, was asked to stand at
2,the skin and disconcert the ,audience,. The lightness of the play
2,As one member of the ,audience," commented at my earshot, that"
2,shows but judging from the ,audience," pool, a good portion of"
2,"person. In the end, the ",audience, still got to see the
2,is never mentioned and the ,audience,", as to the large part"
2,on the part of the ,audience, for a willing suspension of
2,"weirdly comical and exaggerated, the ",audience, is on a large part
2,"to English, some in the ",audience, might not have guessed what
3,audience. The mostly stony-faced ,audience, sitting in an L-shaped
3,the mythical Eastland had the ,audience, in stitches over the clash
3,"offering, it literally left its ",audience," sitting in the dark, until"
3,about there not being an ,audience, and the cast only playing
3,Self-serving theatre? Are the ,audience, meant to feel betrayed? The
3,various times. The cast and ,audience, seemed to enjoy themselves and
3,it threatens to alienate its ,audience," at some points, for those"
3,"the stage, where half the ",audience, cannot see it. And he
3,to offer more to its ,audience,. Instead of which it stretches
3,"upon entering the theatre, the ",audience, was greeted by a stage
3,many other members of the ,audience," on Thursday, could identify with"
3,Programme'; the women in the ,audience, are wearing enough pashminas to
3,for the majority of the ,audience, was more than just the
3,For that segment of the ,audience, that had no affiliation with
3,and would not expect the ,audience, to be made up mainly
3,"Poh, 2 FEET ABOVE, an ",audience,"-based event, was carefully planned"
3,"planned and executed, demanding the ",audience, comply with their conditions or
3,when other members of the ,audience, were making small talk with
3,"sentimental way. Such site-transforming, ",audience,-dependent and risk-taking productions
3,the cast ably refocused the ,audience, onto their energetic and spirited
3,comic high points. While the ,audience, comprised mainly secondary school girls
3,"as Don, making many female ",audience, swoon with his wounded dog
3,throwing them back to the ,audience, while running around in circles
3,to drag (especially when the ,audience, wasn't familiar with a particular
3,favourites which most of the ,audience, would be able to pick
3,was enough to set the ,audience," chortling. Fame, however, is not"
3,badly (mis)interpreted by the ,audience,. While both happened to a
3,that time. Performed to an ,audience, largely ignorant of the political
3,the best preparation for the ,audience,". In view of that, 'Crave"
3,charged emotions and for the ,audience, to leave convention behind and
3,his character count and the ,audience, loved him for it. Deedee
3,one-liners to get the ,audience, laughing - for the first five
3,intentions - it's a pity the ,audience, had to sit on the
3,"run around, checking on the ",audience,", playing with their hair/ears"
3,"you say you're not, the ",audience, should still have some clue
3,"eight, this dance delighted the ",audience, as we were reminded of
3,sometimes reaching out towards the ,audience, as if trying to grab
3,performers' eyes staring at the ,audience,", it also shielded us from"
3,breaking the fourth wall between ,audience, and performers. It seemed that
3,between the actors and the ,audience,", as a curtain for each"
3,believes in giving the Singaporean ,audience, an alternative version of the
3,decrease her chemistry with the ,audience, because Tammy has always engaged
3,herself reached out to the ,audience, in a way that the
3,the space and ultimately the ,audience,. This device is used throughout
3,all of which affect the ,audience, on some level or other
3,"of the interchanging roles, the ",audience, is left pondering about the
3,narrative. The dramatisation allows the ,audience, multiple conclusions from the play
3,between the stage and the ,audience,", only three SMSs are sent"
3,"play, with one having the ",audience, choose the consequential movement of
3,the company for making the ,audience, work hard and really concentrate
3,he gave; and whatever the ,audience," required, he gave even harder"
3,text saw Heng interacting with ,audience," members: bullying latecomers, teaching needlework"
3,somewhat diffident forays into the ,audience, in April's 'An Occasional Orchid
3,heartedness going on and the ,audience," lapping it up, it was"
3,of love but leaves the ,audience, with a sense of nihilism
3,production attempts to let the ,audience, in on Fanny's psychic forays
3,to service textual exigencies and ,audience, comprehension.' Into this interweave of
3,to service textual exigencies and ,audience, comprehension. While I agree with
3,agree with Tan that the ,audience, should not always have it
3,to also recognise that the ,audience, is capable of spotting effects
3,The Necessary Stage. The target ,audience, is thus definitely for those
3,self-effacing charm got the ,audience, into the groove with his
3,during the intervals when the ,audience, was invited to get jiggy
3,"was well used, with the ",audience, often literally caught between the
3,cheek and that as an ,audience,", we are supposed to suspend"
3,might appeal to the target ,audience," of teenaged students, this could"
3,on in the minds of ,audience, and critics alike. A word
3,"of the play, too, the ",audience, were invited to take a
3,room) exiting members of the ,audience, were made to pass the
3,that managed to bring the ,audience, to a near frenzy. The
3,with his back facing the ,audience," while his female partner, Cherice"
3,metamorphosised beyond recognition. As the ,audience," streamed into the theatre, they"
3,as they spoke to the ,audience, as well as amongst themselves
3,distance between the actors and ,audience, was drastically reduced in this
3,and symbolic attachment. Alienating the ,audience, through a semi-Brechtian stage
3,"semi-Brechtian stage setup, the ",audience, was forced to evaluate actively
3,on the stage. As the ,audience, streamed out of the theatre
3,from the performers to their ,audience,". And when that happens, indeed"
3,very simplicity that moved the ,audience,", because it came from deep"
3,very simplicity that moved the ,audience,... _Requiem_ was so truthful it
3,open throughout the show. The ,audience, thus looked not only onto
3,ACCUSATIONS left most of the ,audience, eager for more. WILLS AND
3,nothing to happen; we the ,audience, felt much the same way
3,by sharing Three with the ,audience,. This was Tammy's first piece
3,have to worry about her ,audience, not laughing. But dancer and
3,"spoken word, she's given her ",audience, a delightful \- and often hilarious
3,"first piece, 'Fine Hats', the ",audience, cannot but recognise it is
3,a telling confession to the ,audience, when the evening is over
3,Stortz's southern belle tells the ,audience, she wears shiny black shoes
3,"points down, whispering to the ",audience,", That's my grand-daughter down"
3,ultimately succeeds in keeping the ,audience, enthralled because of Stortz's comic
3,"moviedom, Stortz struts before the ",audience, like the screen goddesses of
3,"classical numbers, Stortz rocks the ",audience, with her lovable homage to
3,"all this emotion-venting, the ",audience, was drawn into her down
3,forgiven if you make the ,audience," laugh. Unhappily, there wasn't very"
3,his life and challenges the ,audience, with the words Are you
3,bureaucratic nature. Neo showed the ,audience, that her talent for comedy
3,Kun's adroit script led the ,audience, through simple tales of ordinary
3,This is also where the ,audience, gets a more palpable sense
3,pepper the play disconnect the ,audience,", pushing the play to the"
3,emotions and response from the ,audience,". In other words, I had"
3,of unrestricted Caucasians in the ,audience,. But not to take credit
3,the effect of keeping the ,audience," permanently on their toes, which"
3,Tan and company serenaded the ,audience, with non-stop Cole Porter
3,"melodious voices, they had the ",audience, tapping their feet and swaying
3,released. Factor in the small ,audience, size and cosy settings throughout
3,using them to draw the ,audience," into her world, and it's"
3,"However, the kids in the ",audience, lapped it up; and since
3,the inner life of the ,audience, so that they are forced
3,the play to address the ,audience," as themselves, presenting true story"
3,"and entertainment, so from an ",audience, standpoint and - why not? - even
3,"sex, and then invites the ",audience, to play what if? As
3,the views coming from the ,audience, were perhaps not as typical
3,they were not the intended ,audience,", and they did rather frighten"
3,from a (preferably) local Singaporean ,audience, in one and a half
3,non-singing cast wooing the ,audience, with their footwork and dance
3,understanding and appreciation from the ,audience,; the cast must be able
3,with the rest of the ,audience,", I realised that humanity often"
3,from a more-than-willing ,audience, and seemed worryingly uncomfortable with
3,Aloud To A Very Obliging ,audience,' running through the entire performance
3,gambling face-off as the ,audience, enters the space of the
3,when characters whispered to the ,audience, to ask for a pen
3,playfulness of interacting with the ,audience, or the camp of singing
3,the younger members of the ,audience,", SPARKLESHARK is not simply a"
3,and a sense of the ,audience, like no other. It was
3,I couldn't; and response from ,audience, members I spoke to was
3,hope and inspiration to the ,audience,", and the music was a"
3,"of this play, we the ",audience, remain similarly unmoved. 
3,and contrived 'Sharing I'. While ,audience, members were waiting to be
3,completely lost on a restless ,audience,", comprising largely of adolescent students"
4,to reveal an area the ,audience, hadn't suspected existed. This versatility
4,"actually resided, just so the ",audience," could see him better, revealed"
4,"itself seriously, and taking the ",audience, along for the ride. 
4,this scope but providing the ,audience, with connect-the-dot explanations
4,it very hard for the ,audience,", and Chia as well, to"
4,a coherent whole and the ,audience, was as baffled as Chia
4,maintain that either a larger ,audience, or a smaller venue would
4,"has been panned. In batches, ",audience, members were ushered into the
4,Which is sad because the ,audience, is part of the performance
4,more impactful with a mobile ,audience, getting into the middle of
4,up into wild segments of ,audience, participation. Most of the time
4,to tame the extremely young ,audience, members in the house. Perhaps
4,it seemed only an older ,audience, was able to truly appreciate
4,to truly target at family ,audience, is something not easy to
4,on the wrists of the ,audience,. A thumping back-beat accompanied
4,"I'm looking for, seduced the ",audience, with shades of a cabaret
4,goal was to make the ,audience, laugh. There was no question
4,"MISTERO BUFFO, he had the ",audience, eating from the palm of
4,hand. To many in the ,audience,", some of whom were also"
4,and messages home to the ,audience,". In this second piece, the"
4,himself around you during the ,audience, interaction segments like an old
4,As a member of the ,audience,", I was unable to fathom"
4,"characteristic of the play, the ",audience, must be incorporated into the
4,certain failure in enrapturing the ,audience, in the senselessness. A delicate
4,"at that juncture, believable - the ",audience, shifted their gaze to Abigail's
4,dramatis personae but with the ,audience,. They were frequently too soft
4,"W!ld Rice, had the ",audience, in stitches right from the
4,thank sponsors and remind the ,audience, to switch off their hand
4,by director Glen Goei. The ,audience, responded in kind with whoops
4,a direct address to the ,audience,. He talks about the alarm
4,"lighting that accompanied it, the ",audience, was treated to an array
4,the minds of a young ,audience, used to complaining about their
4,inducing many laughs from the ,audience,. But there were of course
4,"outdo each other. Besides, the ",audience, (at least those around me
4,"on stage (and indeed, the ",audience, off stage as well). Sergeant
4,of-character address to the ,audience,", she stole the show with"
4,struck a chord with the ,audience,. The set was little to
4,captured the hearts of the ,audience,. But it wasn't just feel
4,friends playing to its own ,audience," and on that level, it"
4,funny. The children in the ,audience, love this sort of thing
4,what some members of the ,audience, clearly were not able to
4,Considering the composition of the ,audience," that included some Malays, Indians"
4,wanted to run from the ,audience, to help him. In terms
4,is aimed at a younger ,audience, - though like all the best
4,clown. A member of the ,audience,", who was celebrating his birthday"
4,"party. In a later section, ",audience, members were invited on stage
4,successful attempt to let the ,audience, this time make a fool
4,did not telegraph to the ,audience, that they as Stage Club
4,was too obvious that the ,audience, was intended to overhear. Such
4,a large proportion of the ,audience," was British, (should the PAP"
4,diamond shape pointed at the ,audience,) every time he addressed us
4,"mahjong tiles - not surprisingly, the ",audience, found this very amusing. Then
4,recorded movements soon bewildered an ,audience, mesmerised by this most ingenious
4,"turntable, this construction enabled the ",audience, to follow the action through
4,dancer's train (cue giggle from ,audience,"), another got hers tangled around"
4,flowers to one of the ,audience,", after which we shifted from"
4,yielded doubts in an attentive ,audience,". But this agenda, be it"
4,"Crook problematic: on stage, the ",audience, saw a 'coloured' guy dealing
4,at best they tempted the ,audience, to join up the scattered
4,"the next stage. We, the ",audience,", never knew what this 'next"
4,from the children in the ,audience," who, perhaps, enjoyed the thrill"
4,It was hard for the ,audience, to distance itself from that
4,share such humanity with the ,audience,?BOLLY ELLIOTT Those dreadful Greek
4,seem to prevent the local ,audience, from enjoying it. Suchrita Pillai
4,notice that most of the ,audience, are involved in the local
4,"the end, Gerald tells the ",audience, to sit down and think
4,"she says, walking amongst the ",audience, and brushing her hands over
4,else quite believes in. The ,audience," is brought in, and an"
4,of 2002. And as the ,audience, were treated to a very
4,itself a treat for the ,audience,", especially as each new character"
4,non-Peranakan member of the ,audience,", as far as I could"
4,from the bibiks in the ,audience," around me, so the onstage"
4,interspersed with what appears from ,audience, reaction to be some cracklingly
4,their abstractness. This distances the ,audience," from Jenny, the long-suffering"
4,much too early and the ,audience, is left spending the next
4,"central platform into two, the ",audience, can only get to view
4,life Although most of the ,audience, belonged to the target age
4,certainly entertained and got the ,audience, asking for more' The production
4,THANK YOU also teaches its ,audience, to take responsibility for their
4,certainly entertained and got the ,audience," (me, at least) asking for"
4,artistic merit; and if the ,audience, appeared to enjoy themselves during
4,snazzy choreography appealed to the ,audience,", as we were caught up"
4,and Ix Wong approached the ,audience, while running on it. Sometimes
4,"another, to laughs from the ",audience,". 'Resilience', as the title suggests"
4,"the goat are cut, the ",audience, stands in for the sheep
4,with the rest of the ,audience,", well after the last. And"
4,for the members of the ,audience, - for this one at least
4,to its emotional truth' The ,audience, files in to an opening
4,grabbing headlines as well as ,audience, attention. New offbeat musical 'Urinetown
4,incessant eyeball rolling from the ,audience, on the opening night. Reviews
4,skill required to convince the ,audience, that there was indeed a
4,week after Vincent's death. The ,audience, is a crowd of artists
4,"a lover [pause, grin at ",audience,] of God [stare at undefined
4,thankfully his cleverness seldom eclipsed ,audience," engagement, with catchy devices like"
4,"Spring Wind', the actors invited ",audience, members to scatter flower petals
4,more reserved members of the ,audience,). But while the intentions and
4,I'm Still Here took the ,audience, on an intense and tension
4,chorus that sat among the ,audience, and echoed the anxieties of
4,range of moods in the ,audience, and its simple yet powerful
4,the awareness created in the ,audience, through the dramatisation of these
4,any emotional bond between the ,audience, and their fleeting characters; and
4,straightforward plot successfully drew the ,audience, into the story and did
4,of ignorant juveniles amongst the ,audience, who showed absolutely no respect
4,AND THE FANTASTIC Around: The ,audience, expectantly looking in. The Ring
4,to emotionally engage with the ,audience,. I am not insisting that
4,the needs of a local ,audience,  but in this case
4,"Sharma, appears and addresses the ",audience, and says that he hopes
4,an easy space for the ,audience," to enter into, much less"
4,of the set and the ,audience, seating had a strange Foucauldian
4,stage in the middle of ,audience,", separated by the moat of"
4,the surveillance gaze (towards the ,audience,) was cast more effectively from
5,the performance and engaging the ,audience, was no mean feat and
5,the story easier for the ,audience," to understand perhaps, but makes"
5,had been staged with an ,audience, surrounded - besieged almost - by video
5,of them - may put off ,audience," members but fret not, for"
5,kept the kids in the ,audience, happy for a good 70
